Country,Land area (km²),Government type,"Birth rate (per 1,000 population)",Unemployment rate (%),Literacy rate (%),CO₂ emissions (Mt),CO₂ emissions (Mt) (log scale),GDP (USD billions),GDP (USD billions) (log scale),GDP per capita (USD),"Infant mortality rate (per 1,000 live births)",Median age (years),Total fertility rate (children/woman),GDP growth rate (%),Government debt (% of GDP),Carbon intensity (t/USD),Carbon intensity (t/USD) (log scale),CO₂ per capita (t/person),CO₂ per capita (t/person) (log scale),Population density (people/km²),Trade openness (% of GDP),Internet users (%)
MADAGASCAR,581540.0,Republic,28.14,2.59,77.3,4.0,0.602059991436536,13.96,1.1448854183182522,1500.0,38.27,20.3,3.55,4.4,36.0,0.00028653295128939826,-3.542823911274232,0.13883010301714258,-0.8575163509493408,49.54464869140558,58.09455587392549,20.130364937485673
MALAWI,94080.0,Republic,27.29,7.02,67.3,1.0,4.3429451761979113e-10,7.77,0.890421018856808,1500.0,32.68,16.8,3.3,2.75,44.89,0.0001287001287001287,-3.8904176443459964,0.04699337116205725,-1.3279633896476826,226.18619260204082,65.89446589446591,22.556818157787482
MALAYSIA,328657.0,Monarchy,14.39,4.61,95.0,254.0,2.404833716621648,364.63,2.561852397448145,26300.0,6.49,29.2,1.74,3.09,62.03,0.0006965965499273236,-3.1570180573755215,7.422565329168124,0.8705540287546645,104.12063336548438,133.51890957957383,96.37645556433048
MALDIVES,298.0,Republic,15.33,6.08,97.9,2.0,0.30102999588112844,4.5,0.6532125138718535,18800.0,25.02,29.5,1.7,41.75,63.9,0.00044444444444444447,-3.3521815409499207,5.133891900772137,0.7104467200116792,1307.275167785235,165.55555555555557,114.79382290126499
MALI,1220190.0,Republic,40.54,7.72,35.5,5.0,0.6989700044228777,17.51,1.2432861461082487,2100.0,58.99,16.0,5.45,3.05,35.4,0.00028555111364934324,-3.5443146208508804,0.23408544362141043,-0.6306255897938863,17.505242626148387,65.9051970302684,35.019182365763
MALTA,316.0,Republic,9.59,3.5,94.9,9.0,0.9542425094875798,14.99,1.1758016328772518,44700.0,4.45,42.3,1.51,10.3,50.7,0.000600400266844563,-3.2215584000680155,19.266255367792816,1.2847973124394307,1478.2848101265822,289.993328885924,98.70744833432519
MARSHALL ISLANDS,181.0,Other,21.61,36.0,98.3,293700.0,5.467903946522802,222.0,2.346352974452595,6000.0,21.13,23.8,2.72,1.11,41.71,1.322972972972973,0.12155097240043325,3627448.55865425,6.559601262363803,447.3259668508287,5.436936936936937,20.075093249018106
MAURITANIA,1030700.0,Republic,27.61,11.46,67.0,4.0,0.602059991436536,706.0,2.848804701052419,5300.0,49.95,21.0,3.46,2.45,96.6,5.6657223796034e-06,-5.246668063511614,0.942312122986809,-0.025805221121356393,4.118441835645678,1.0609065155807367,63.93587754465499
MAURITIUS,2030.0,Republic,9.82,,92.2,,,,,,11.84,36.3,1.35,,,,,,,645.048275862069,,
MEXICO,1943945.0,Republic,13.95,4.38,95.2,463.0,2.6655809910188912,1269956000000.0,12.103788674272309,19100.0,12.0,29.3,1.73,4.72,54.3,3.6457956023673267e-13,-8.999841693964594,3.564951793189616,0.5520536616327676,66.81028990017721,8.401787148531131e-08,76.07283740110887
